Promise,PromiseSource,PromiseLink,Due,Kept,KeptSource,KeptLink
End the war in Ukraine,2024-09-10 Presidential Debate,https://www.youtube.com/shorts/jcNzoONhrmE,2025-01-20,Pending,,
Close the border,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2025-01-21,Pending,,
Launch the largest deportation program in American history,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2025-01-21,Pending,,
"Impose tariffs - 10% to 20% on all non-domestic goods, 60% or more on all Chinese imports, up to 200% on Chinese cars made in Mexico, 25% on Canada and Mexico",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2025-01-21,Pending,,
Sign an executive order that would end offshore wind projects,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2025-01-21,Pending,,
Energy costs cut by half. American energy will be the cheapest in the world.,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2026-07-15,Pending,,
End inflation ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No tax on tips ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No tax on overtime ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No tax on Social Security ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No tax on interest paid on car loans ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Lower grocery prices ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Lower housing costs ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Cap credit card interest at 10%, at least temporarily ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Cut car insurance by 50% ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Cap the cost of prescription drugs to be ""no higher than what other countries pay"" ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
IVF - Require the government and/or insurance companies to pay 100% of treatment costs ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Death penalty for child rape ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Death penalty for selling drugs ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Build 10 ""Freedom Cities"" on federal land to house thousands of low-income Americans ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Tax cuts for lower and middle class ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Deport millions of illegal aliens ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Revoke legal immigrant status of Haitians in Springfield, OH and deport ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Hire 10,000 new Border Patrol agents ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Eliminate (at least) 50,000 government jobs ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Cancel ACA (Obamacare) and replace it with a better plan ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
End federal funding for NPR (National Public Radio) ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Finish the wall on the southern border ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Abolish the Department of Education ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No more tenure for teachers of K-12 grades ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"School principals will be ""elected by parents"", not appointed ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No federal money for any school with a vaccine mandate ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
End Common Core (voluntary standards for math and English) ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"End violence in the Middle East (Lebanon, Israel, Gaza, etc.) ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Full ""pardon and apology"" for ""most"" J6 rioters currently serving time ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Automatic green cards for non-citizen college graduates (includes junior college graduates) ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Build an Iron Dome missile defense system for America ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Create ""tent cities"" where homeless citizens can be moved ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
"Elections will be one-day with paper ballots only, (no mail-in or early voting), voter ID required, all votes must be counted and winners determined on election day ",speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Reinstate transgender ban in military ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Create compensation fund for victims of migrant crime ,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
Ban all Chinese imports of essential goods,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
No nationwide abortion ban,speech on 2024-01-01,https://www.youtube.com/watch?v=AJEszX2o5AE,2029-01-20,Pending,,
